Image,URL/Path,Text
1.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\1.jpg," 66BEING VIRTUOUS,BE CONFIDENT IN YOURSELFAND NEVER GIVE UP99"
2.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\2.jpg, THE MIND IS EVERYTHING.WHAT YOU THINKYOU BECOMEBuddha99 
20100425.pdf,C:\Users\Brajesh Mohapatra\Python\Aaruni\20100425.pdf," PDF3.pdf ~ Internal PDF structure.   wol™|“File name: PDFS. pd)YB Page: 1> > Contents: (2)> [1 CropBox: (4)> [1 Mediafox: (4)> @) Parent: (4) [595y @)) Resources: (5)                                                                        > «)) Font: (4)> (J Procset: (3)> @)) Properties:Vv qyimi: (8)7 Filter:45 Height:45 Length:7 Type:45 Width:> on Image445 Rotate: 045 StructParents:7 Type: PageSTR dane: >7 Subtype:  NED            33045 0 R]52 0 R](33043 OR]> @) ExtGState: 2)8)Yd) XObject: (1)[33053 0k]445 BitsPerComponent: 87 ColorSpace:DeviceCMYKDcTDecode15215828ImageXobject,159stream2359  ae  "
3.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\3.jpg, 66THE ONLY TRUEWISDOM IS INKNOWING YOUKNOW NOTHING.Socrates (470-3599 BC)99
4.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\4.jpg, 
5.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\5.jpg,"                6}AHARD BATTLE— SocratesDEATH MAY BE THEGREATEST OF ALLHUMAN BLESSINGS.BE KIND, FOR EVERYONEYOU MEET IS FIGHTING99         “         THE UNEXAMINEDLIFE IS NOTWORTH LIVING.      — Socrates     WHEN THE DEBATE IS LOST,SLANDER BECOMESTHETOOL OF THE LOSER.Socrates             “6TO FIND YOURSELF,THINK FORYOURSELF.EVERY ACTIONHAS ITS PLEASURESANDITS PRICE.— Socrates         "
6.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\6.jpg, 
7.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\7.jpg, THINKOUTS'DETHE BoX
8.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\8.jpg, AOUSfds ARE fsSTRONGER> Than youCTHINK?
maxresdefault.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\maxresdefault.jpg,  
1.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\1.jpg," 66BEING VIRTUOUS,BE CONFIDENT IN YOURSELFAND NEVER GIVE UP99"
2.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\2.jpg, THE MIND IS EVERYTHING.WHAT YOU THINKYOU BECOMEBuddha99 
20100425.pdf,C:\Users\Brajesh Mohapatra\Python\Aaruni\20100425.pdf," PDF3.pdf ~ Internal PDF structure.   wol™|“File name: PDFS. pd)YB Page: 1> > Contents: (2)> [1 CropBox: (4)> [1 Mediafox: (4)> @) Parent: (4) [595y @)) Resources: (5)                                                                        > «)) Font: (4)> (J Procset: (3)> @)) Properties:Vv qyimi: (8)7 Filter:45 Height:45 Length:7 Type:45 Width:> on Image445 Rotate: 045 StructParents:7 Type: PageSTR dane: >7 Subtype:  NED            33045 0 R]52 0 R](33043 OR]> @) ExtGState: 2)8)Yd) XObject: (1)[33053 0k]445 BitsPerComponent: 87 ColorSpace:DeviceCMYKDcTDecode15215828ImageXobject,159stream2359  ae  "
3.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\3.jpg, 66THE ONLY TRUEWISDOM IS INKNOWING YOUKNOW NOTHING.Socrates (470-3599 BC)99
4.jpg,C:\Users\Brajesh Mohapatra\Python\Aaruni\4.jpg, 
